,name,thematic_area_id,thematic_area,requirements,work_methods,requirements_1,requirements_2,requirements_3,requirements_4
0,¿Cómo podríamos crear una estrategia para que el consumidor compre los productos complementarios al principal (venta cruzada)?,19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
1,Analista marketplace,11,market,recursos,in_house,experiencia,recursos humanos,macros,talento
2,Asistente Administrativo y Marketing,17,consumer,planes,virtual,cultura,digital,redes sociales,herramientas
3,atención al cliente - personas sin experiencia edad 22 años,17,consumer,experiencia,in_house,atencion al cliente,transporte,indicadores,persona
4,auxiliar administrativo/a / Contabilidad,16,finance,administrativo,in_house,alimentos,manejo,experiencia,auxiliar
5,Asesor de servicio al cliente (Aplica bachilleres) - Lunes a Sábado.,17,consumer,experiencia,in_house,servicio,servicio al cliente,equipo,no
6,Líder de bodega - Floridablanca,7,communications,trabajo,in_house,empresa,habilidades,desarrollo,equipo
7,¿Cómo podríamos reinventar el proceso de embalaje desde la logística para hacerlo más eficiente?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
8,CEO,8,design,conocimiento,in_house,bases,mantenimiento,recursos,financiera
9,Pasante de desarrollo,6,tech,c#,mixed,unity,seacher,programacion,ninguna
10,Ingeniero de desarrollo TS Col.,13,product,trabajo,in_house,profesional,desarrollo,.,equipo
11,Director IT - Siberia,6,tech,recursos,in_house,desarrollo,talento humano,empresa,proyectos
12,Cajero y Asesor de Servicio al cliente - sector financiero Urgente,17,consumer,manejo,in_house,experiencia,servicios,financiero,caja
13,ANALISTA DE EXPERIENCIA DEL PACIENTE - 2169991,6,tech,manejo,in_house,sistema,servicios,indicadores,negocios
14,¿Cómo podríamos posicionar un nuevo producto en el mercado y el target al cual queremos llegar?,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
15,¿Cómo podríamos aplicar el concepto de E-Commerce (comercio por Internet) en la organización para vender nuestros productos/servicios respondiendo a las necesidades de los usuarios?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
16,Analista Mejora Continua - Girardota,13,product,equipo,in_house,mejora,trabajo,herramientas,operaciones
17,Auxiliar Contable,6,tech,financiera,in_house,experiencia,equipo,inventarios,sistemas
18,¿Cómo podríamos iniciar mercados internacionales que respondan positivamente con los servicios/productos actuales?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
19,Pitch en vivo: Roles del futuro,4,strategy,procesos,to_be_agreed,proyectos,tendencias,empresarial,reclutamiento
20,Jefe de tienda/ Supermercados/ Puerto Tejada Cauca,13,product,manejo,in_house,servicios,mejoramiento continuo,trabajo,empresa
21,Director Control de Cuentas- Medellin,16,finance,profesional,"[""a""]",financiera,experiencia,equipo,manejo
23,¿Cómo podríamos mejorar el entorno laboral en nuestra planta para disminuir los riesgos/accidentes de nuestros trabajadores?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
24,¿Cómo podríamos medir el impacto generado por las capacitaciones en el nuevo personal de la organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
26,Agente de encuestas telefónicas.,7,communications,experiencia,virtual,habilidades,marketing,aprender,equipo
27,Coordinador Comercial / Disponibilidad inmediata,19,sales,trabajo,"[""a""]",empresa,recursos,alimentos,experiencia
28,Work From Home Brand Development Manager / Ref. 0886E,11,market,software,in_house,visual,branding,teams,marketing
29,¿Cómo podríamos reutilizar uno de los materiales usados en la organización para disminuir el impacto ambiental?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
30,¿Cómo podríamos conectar a nuestros empleados con la cultura de la organización por medio de una estrategia de gamificación divertida?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
31,"Corazones de papel
¿Cual tan importante es la alimentación saludable para los niños? Enfocan el producto pero con ellos llenaremos más corazones sanos",13,product,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
32,¿Cómo podríamos obtener la información estratégica de nuestros usuarios para apoyar la toma de decisiones?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
33,¿Cómo podríamos usar la inteligencia artificial para mejorar procesos al interior de nuestra organización?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
34,Auxiliar Ventas Caja,17,consumer,talento humano,in_house,terminal,servicio,empresa,operaciones
35,Auxiliar de Servicio al Cliente para Soacha,17,consumer,manejo,in_house,servicio,empresa,experiencia,indicadores
36,Ingeniero de Desarrollo,6,tech,.net y angular,virtual,relaciones,angular,macros,talento
37,Convocatoria Asesor Comercial o servicio al cliente Externo Tocaima,17,consumer,experiencia,in_house,comercial,trabajo,mejora,servicio
38,¿Cómo podríamos ingeniar una forma de aprovechar los tiempos muertos en el trabajo de una forma productiva y divertida?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
39,Analista de Operaciones Financieras,16,finance,no,in_house,plataformas,manejo,informes,trabajo
40,¿Cómo podríamos diseñar un modelo salarial viable para nuestros empleados estratégicos?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
41,Gerente/ Director de oficina sector financiero o cooperativa,13,product,servicio,in_house,experiencia,social,comercial,financiero
42,"¿Cómo podríamos disminuir los cuellos de botella en la producción, incrementando la eficacia de los procesos?",15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
43,Shopify Web Developer - Práctica,6,tech,inglés,virtual,ecommerce,proactividad,desarrollo web,power
44,¿Cómo podríamos conectar los diferentes canales de comunicación con los clientes (omnicanalidad)?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
45,Analista testing |MULTIENLACE,6,tech,casos de pruebas,to_be_agreed,pruebas funcionales, no funcionales,gestión de requisitos, control de cambios
46,¿Cómo podríamos optimizar el proceso de inventario con el uso de herramientas tecnológicas?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
47,Analista Diseño Organizacional,8,design,responsabilidad,virtual,digital,estrategia,mejoramiento continuo,procesos
48,Practicantes para Nutrium 2023-2,11,market,desarrollo,in_house,dibujo,comunicacion,financiera,redes
49,Auxiliar Operativo,17,consumer,servicio,in_house,empresa,manejo,experiencia,salud
50,Graphic Designer,8,design,marketing,in_house,mercado,power,aprender,finanzas
51,¿Cómo aportar al desarrollo de la cultura organizacional desde la programación?,6,tech,php,to_be_agreed,javascript,mysql,trabajo en equipo,comunicación
52,Store Manager Mayorca OCS,7,communications,caja,in_house,cultura,digital,proyectos,operaciones
53,Coordinador de Desarrollo y Diseños - Publicidad,8,design,trabajo,virtual,modelado,experiencia,lectura,diseño
54,Auxiliar contable y recursos humanos - Gran oportunidad laboral,9,talent,empresa,"[""a""]",trabajo,experiencia,auxiliar,inventarios
55,Administrador de tienda- Medellín sur,13,product,planes,virtual,trabajo,aprender,equipo,responsabilidad
56,¿Cómo podríamos incitar a nuestros usuarios a hacer parte de una comunidad de seguidores de nuestra marca?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
