,user_id,position,career,updated_at,want_to_be,desired_role,benefits_in_companies,name,type,my_languages_,level_languages_,my_languages_1,level_languages_1,my_languages_2,level_languages_2,benefits_in_companies_1,benefits_in_companies_2,benefits_in_companies_3
0,34491,none,derecho,2023-09-01 12:10:20,entrepreneur,"soporte y asesor informatico, diseñador web.",bonuses,politica,my_knowledge,not,basic,not,basic,not,basic,study_opportunities,flexible_schedules,flexible_schedules
1,170899,psicóloga,maestria en macc,2023-09-01 13:21:24,first_job,data engineer / data scientist,formation,javascript,digital_tools,EN,intermediate,not,basic,not,basic,child_care,child_care,personal_recognition
2,56307,none,maestria en evaluacion y aseguramiento de la calidad de la educacion,2023-09-01 12:40:14,employment,"soporte y asesor informatico, diseñador web.",study_opportunities,procesos,my_knowledge,not,basic,not,basic,not,basic,prepaid_medicine,child_care,flexible_schedules
3,1968597,auxiliar administrativa- costos,contaduría,2023-09-19 07:59:45,employment,contabilidad,flexible_schedules,contabilidad,my_knowledge,ES,advanced,not,basic,not,basic,laboral_training,formation,bonuses
4,1958883,desempleado,ingeniería de productividad y calidad,2023-09-01 13:26:44,employment,diseño de experiencias o servicios,flexible_schedule,iso,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedule,free_time,"[""a""]"
5,59398,"camarógrafo, editor, realizador.",comunicación audiovisual,2023-09-01 12:40:38,employment,data scientist,flexible_schedules,fotografía,my_knowledge,ES,advanced,not,basic,not,basic,home_office,distraction_spaces,laboral_training
6,92490,tutor en programación de computadores y matemática,ingeniería electrónica,2023-09-01 13:04:26,employment,el asignado,study_opportunities,enseñanza,my_knowledge,EN,intermediate,not,basic,not,basic,laboral_training,formation,scholarships
7,1965571,empleado,ingeniería civil,2023-09-01 14:01:11,employment,director/coordinador de proyectos,study_opportunities,política,my_knowledge,EN,intermediate,not,basic,not,basic,pet_care,free_time,travels
8,178885,practicante mejora continua,ingeniería mecánica administrativa,2023-09-01 13:22:31,employment,data engineer / data scientist,formation,mejora continua,my_knowledge,EN,advanced,DE,basic,not,basic,child_care,child_care,personal_recognition
9,34432,none,estudios literarios,2023-09-01 12:10:19,employment,"soporte y asesor informatico, diseñador web.",flexible_schedules,office 365,digital_tools,not,basic,not,basic,not,basic,study_opportunities,child_care,flexible_schedules
10,119192,líder comercial.,ingeniería agroindustrial,2023-09-01 13:11:08,employment,"desarrollador backend, fullstack, lider tecnico",study_opportunities,análisis de datos,my_knowledge,EN,basic,not,basic,not,basic,"[""a""]","[""a""]",personal_recognition
11,170651,contadora publica,dev,2023-09-01 13:21:23,first_job,data engineer / data scientist,flexible_schedules,mysql,digital_tools,ES,advanced,EN,basic,not,basic,child_care,child_care,personal_recognition
12,92275,none,dirección orquestal / composición müsica para cine y videojuegos,2023-09-01 13:04:24,entrepreneur,el asignado,study_opportunities,emprendimiento,my_knowledge,EN,advanced,not,basic,not,basic,bonuses,"[""a""]",scholarships
13,1963343,empleado,análisis y desarrollo de sistemas de información,2023-05-06 15:06:07,employment,"desarrollador backend, fullstack, lider tecnico",flexible_schedule,microsoft,my_knowledge,EN,basic,not,basic,not,basic,pet_care,free_time,travels
